tmstamp,value,tag_id,topic,date
2025-01-02 07:10:00,10927.619,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:15:00,11980.209,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:20:00,12803.163,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:25:00,14286.86,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:30:00,15192.837,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:35:00,16527.559,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:40:00,16717.523,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:45:00,13602.768,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:50:00,16711.418,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:55:00,19925.674,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:00:00,21841.162,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:05:00,22856.28,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:10:00,23914.441,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:15:00,24713.28,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:20:00,25743.326,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:25:00,26630.28,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:30:00,27802.674,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:35:00,28446.559,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:40:00,29437.535,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:45:00,30171.303,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:50:00,30970.186,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 08:55:00,31020.232,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:00:00,31885.373,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:05:00,32678.373,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:10:00,31703.326,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:15:00,31470.488,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:20:00,29963.465,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:25:00,26796.363,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:30:00,19718.488,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:35:00,22884.047,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:40:00,20720.559,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:45:00,21976.791,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:50:00,23513.559,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 09:55:00,20281.232,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:00:00,20138.324,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:05:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:10:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
