time,temp_c,cloud,date,user_object_id
2025-02-02 08:15:00,3.8,30.0,2025-02-02,70
2025-02-02 08:30:00,3.8,30.0,2025-02-02,70
2025-02-02 08:45:00,3.8,30.0,2025-02-02,70
2025-02-02 09:00:00,5.2,23.0,2025-02-02,70
2025-02-02 09:15:00,5.2,23.0,2025-02-02,70
2025-02-02 09:30:00,5.2,23.0,2025-02-02,70
2025-02-02 09:45:00,5.2,23.0,2025-02-02,70
2025-02-02 10:00:00,6.9,14.0,2025-02-02,70
2025-02-02 10:15:00,6.9,14.0,2025-02-02,70
2025-02-02 10:30:00,6.9,14.0,2025-02-02,70
2025-02-02 10:45:00,6.9,14.0,2025-02-02,70
2025-02-02 11:00:00,8.5,10.0,2025-02-02,70
2025-02-02 11:15:00,8.5,10.0,2025-02-02,70
2025-02-02 11:30:00,8.5,10.0,2025-02-02,70
2025-02-02 11:45:00,8.5,10.0,2025-02-02,70
2025-02-02 12:00:00,9.9,11.0,2025-02-02,70
2025-02-02 12:15:00,9.9,11.0,2025-02-02,70
2025-02-02 12:30:00,9.3,12.0,2025-02-02,70
2025-02-02 12:45:00,9.3,12.0,2025-02-02,70
2025-02-02 13:00:00,10.4,26.0,2025-02-02,70
2025-02-02 13:15:00,10.4,26.0,2025-02-02,70
2025-02-02 13:30:00,10.4,26.0,2025-02-02,70
2025-02-02 13:45:00,10.4,26.0,2025-02-02,70
2025-02-02 14:00:00,11.1,54.0,2025-02-02,70
2025-02-02 14:15:00,11.1,54.0,2025-02-02,70
2025-02-02 14:30:00,11.1,54.0,2025-02-02,70
2025-02-02 14:45:00,11.1,54.0,2025-02-02,70
2025-02-02 15:00:00,11.1,59.0,2025-02-02,70
2025-02-02 15:15:00,11.1,59.0,2025-02-02,70
2025-02-02 15:30:00,11.1,59.0,2025-02-02,70
2025-02-02 15:45:00,11.1,59.0,2025-02-02,70
2025-02-02 16:00:00,10.6,47.0,2025-02-02,70
2025-02-02 16:15:00,10.6,47.0,2025-02-02,70
2025-02-02 16:30:00,10.6,47.0,2025-02-02,70
2025-02-02 16:45:00,10.6,47.0,2025-02-02,70
2025-02-02 17:00:00,9.3,29.0,2025-02-02,70
2025-02-02 17:15:00,9.3,29.0,2025-02-02,70
2025-02-02 17:30:00,9.3,29.0,2025-02-02,70
2025-02-02 17:45:00,9.3,29.0,2025-02-02,70
2025-02-02 18:00:00,8.2,36.0,2025-02-02,70
2025-02-02 18:15:00,8.2,36.0,2025-02-02,70
2025-02-02 18:30:00,7.8,37.0,2025-02-02,70
2025-02-02 18:45:00,7.8,37.0,2025-02-02,70
2025-02-02 19:00:00,7.5,51.0,2025-02-02,70
2025-02-02 19:15:00,7.5,51.0,2025-02-02,70
2025-02-02 19:30:00,7.5,51.0,2025-02-02,70
2025-02-02 19:45:00,7.5,51.0,2025-02-02,70
2025-02-02 20:00:00,7.1,68.0,2025-02-02,70
2025-02-02 20:15:00,7.1,68.0,2025-02-02,70
2025-02-02 20:30:00,7.1,68.0,2025-02-02,70
2025-02-02 20:45:00,7.1,68.0,2025-02-02,70
2025-02-02 21:00:00,6.7,100.0,2025-02-02,70
2025-02-02 21:15:00,6.7,100.0,2025-02-02,70
2025-02-02 21:30:00,6.7,100.0,2025-02-02,70
2025-02-02 21:45:00,6.7,100.0,2025-02-02,70
2025-02-02 22:00:00,6.5,91.0,2025-02-02,70
2025-02-02 22:15:00,6.5,91.0,2025-02-02,70
2025-02-02 22:30:00,6.5,91.0,2025-02-02,70
2025-02-02 22:45:00,6.5,91.0,2025-02-02,70
2025-02-02 23:00:00,6.3,74.0,2025-02-02,70
2025-02-02 23:15:00,6.3,74.0,2025-02-02,70
2025-02-02 23:30:00,6.3,74.0,2025-02-02,70
2025-02-02 23:45:00,6.3,74.0,2025-02-02,70
2025-02-03 03:00:00,5.3,34.0,2025-02-03,70
2025-02-03 03:15:00,5.3,34.0,2025-02-03,70
2025-02-03 03:30:00,5.3,34.0,2025-02-03,70
2025-02-03 03:45:00,5.3,34.0,2025-02-03,70
2025-02-03 04:00:00,4.9,55.0,2025-02-03,70
2025-02-03 04:15:00,4.9,55.0,2025-02-03,70
2025-02-03 04:30:00,4.9,55.0,2025-02-03,70
2025-02-03 04:45:00,4.9,55.0,2025-02-03,70
2025-02-03 05:00:00,4.6,63.0,2025-02-03,70
2025-02-03 05:15:00,4.6,63.0,2025-02-03,70
2025-02-03 05:30:00,4.6,63.0,2025-02-03,70
2025-02-03 05:45:00,4.6,63.0,2025-02-03,70
2025-02-03 06:00:00,4.6,60.0,2025-02-03,70
2025-02-03 06:15:00,4.6,60.0,2025-02-03,70
2025-02-03 06:30:00,4.6,55.0,2025-02-03,70
2025-02-03 06:45:00,4.6,55.0,2025-02-03,70
2025-02-03 07:00:00,4.3,84.0,2025-02-03,70
2025-02-03 07:15:00,4.3,84.0,2025-02-03,70
2025-02-03 07:30:00,4.3,84.0,2025-02-03,70
2025-02-03 07:45:00,4.3,84.0,2025-02-03,70
2025-02-03 08:00:00,4.5,100.0,2025-02-03,70
2025-02-03 08:15:00,4.5,100.0,2025-02-03,70
2025-02-03 08:30:00,4.5,100.0,2025-02-03,70
2025-02-03 08:45:00,4.5,100.0,2025-02-03,70
2025-02-03 09:00:00,5.2,100.0,2025-02-03,70
2025-02-03 09:15:00,5.2,100.0,2025-02-03,70
2025-02-03 09:30:00,5.2,100.0,2025-02-03,70
2025-02-03 09:45:00,5.2,100.0,2025-02-03,70
2025-02-03 10:00:00,5.2,100.0,2025-02-03,70
2025-02-03 10:15:00,5.2,100.0,2025-02-03,70
2025-02-03 10:30:00,5.2,100.0,2025-02-03,70
2025-02-03 10:45:00,5.2,100.0,2025-02-03,70
2025-02-03 11:00:00,4.4,100.0,2025-02-03,70
2025-02-03 11:15:00,4.4,100.0,2025-02-03,70
2025-02-03 11:30:00,4.4,100.0,2025-02-03,70
2025-02-03 11:45:00,4.4,100.0,2025-02-03,70
2025-02-03 12:00:00,3.3,100.0,2025-02-03,70
2025-02-03 12:15:00,3.3,100.0,2025-02-03,70
2025-02-03 12:30:00,3.3,100.0,2025-02-03,70
2025-02-03 12:45:00,3.3,100.0,2025-02-03,70
2025-02-03 13:00:00,2.9,100.0,2025-02-03,70
2025-02-03 13:15:00,2.9,100.0,2025-02-03,70
2025-02-03 13:30:00,2.9,100.0,2025-02-03,70
2025-02-03 13:45:00,2.9,100.0,2025-02-03,70
2025-02-03 14:00:00,3.5,100.0,2025-02-03,70
2025-02-03 14:15:00,3.5,100.0,2025-02-03,70
2025-02-03 14:30:00,3.5,100.0,2025-02-03,70
2025-02-03 14:45:00,3.5,100.0,2025-02-03,70
2025-02-03 15:00:00,3.9,100.0,2025-02-03,70
2025-02-03 15:15:00,3.9,100.0,2025-02-03,70
2025-02-03 15:30:00,3.9,100.0,2025-02-03,70
2025-02-03 15:45:00,3.9,100.0,2025-02-03,70
2025-02-03 16:00:00,5.0,83.0,2025-02-03,70
2025-02-03 16:15:00,5.0,83.0,2025-02-03,70
